#TITLE:Dream On
#ARTIST:Aerosmith
#LANGUAGE:English
#EDITION:None
#GENRE:None
#YEAR:1973
#CREATOR:Hun
#MP3:Aerosmith - Dream On.m4a
#COVER:Aerosmith - Dream On [CO].jpg
#BACKGROUND:Aerosmith - Dream On [BG].jpg
#BPM:287
#GAP:38260
: 852 3 3 ry
: 856 3 5 bo
: 860 3 3 dy’s 
: 864 8 0 sin 
- 874
: 876 3 5 You 
: 880 7 3 got 
: 888 3 3 to 
: 892 3 -1 lo
: 896 3 -2 ~se 
: 900 3 -4 to 
: 904 3 -2 kno
: 908 3 -4 ~
: 912 11 -2 ~w 
: 924 3 -4 how 
: 928 7 -2 to 
: 936 80 -7 win 
- 1018
: 1188 7 0 Half 
: 1196 7 0 my 
: 1204 15 5 li
: 1220 3 -2 ~fe’s 
: 1224 7 -4 in 
: 1232 15 0 books’ 
: 1248 3 -2 writ
: 1252 7 0 ten 
: 1260 11 -2 pa
: 1272 16 -4 ges 
- 1290
: 1308 3 -2 Live 
: 1312 7 0 and 
: 1320 19 5 lea
: 1340 3 0 ~rn 
: 1344 7 -4 from 
: 1352 11 0 fools 
: 1364 3 -2 and 
: 1368 7 0 from 
: 1376 11 -2 sa
: 1388 28 -2 ges 
- 1418
: 1448 3 -2 You 
: 1452 11 -4 know 
: 1464 7 -2 it’s 
: 1472 47 -7 true
: 1520 16 5 ~ 
- 1538
: 1544 7 7 All 
: 1552 3 8 the 
: 1556 7 7 thi
: 1564 3 8 ~
: 1568 3 7 ~
: 1572 20 5 ~ngs 
: 1596 7 5 come 
: 1604 7 7 back 
: 1612 3 8 to 
: 1616 7 7 you
: 1624 3 8 ~
: 1628 3 7 ~
: 1632 12 5 ~ 
- 1646
: 1652 7 8 Sing 
: 1660 7 7 with 
: 1668 7 5 me, 
: 1676 7 7 sing 
: 1684 3 7 for 
: 1688 3 8 the 
: 1692 3 7 yea
: 1696 4 5 ~r 
- 1702
: 1704 7 8 Sing 
: 1712 3 5 for 
: 1716 3 3 the 
: 1720 2 5 laugh
: 1723 4 5 ter 
: 1728 3 3 and 
: 1732 11 5 sing 
: 1744 3 5 for 
: 1748 3 3 the 
: 1752 3 5 tea
: 1756 8 5 ~r 
- 1766
: 1768 7 8 Sing 
: 1776 7 7 with 
: 1784 3 5 me, 
: 1788 3 5 if 
: 1792 3 7 it’s 
: 1796 3 7 just 
: 1800 3 8 for 
: 1804 3 7 to
: 1808 8 5 day 
- 1818
: 1824 3 8 May
: 1828 3 8 be 
: 1832 3 5 to
: 1836 3 8 mor
: 1840 7 8 row 
: 1848 2 8 the 
: 1852 3 8 Good 
: 1856 7 8 Lord 
: 1864 3 7 will 
: 1868 3 7 take 
: 1872 2 5 you 
: 1875 1 7 a
: 1877 55 7 way 
- 1934
: 2412 7 8 Sing 
: 2420 3 7 with 
: 2424 7 5 me, 
: 2432 7 7 sing 
: 2440 3 7 for 
: 2444 3 8 the 
: 2448 3 7 yea
: 2452 4 5 ~r 
- 2458
: 2464 6 8 Sing 
: 2472 3 5 for 
: 2476 2 3 the 
: 2480 4 5 laugh
: 2485 2 5 ter 
: 2488 1 3 and 
: 2490 8 5 sing 
: 2500 3 5 for 
: 2504 3 3 the 
: 2508 3 5 tea
: 2512 8 5 ~r 
- 2522
: 2528 7 8 Sing 
: 2536 3 7 with 
: 2540 3 5 me, 
: 2544 3 5 if 
: 2548 3 7 it’s 
: 2552 3 7 just 
: 2556 3 8 for 
: 2560 3 7 to
: 2564 8 5 day 
- 2574
: 2576 3 8 May
: 2580 3 8 be 
: 2584 3 8 to
: 2588 7 7 mor
: 2596 7 5 row 
: 2604 3 5 the 
: 2608 3 8 Good 
: 2612 7 8 Lord 
: 2620 3 7 will 
: 2624 3 7 take 
: 2628 2 5 you 
: 2631 1 7 a
: 2633 63 7 way 
- 2698
: 2756 7 8 Dream 
: 2764 3 7 o
: 2768 12 5 ~n, 
: 2788 7 8 dream 
: 2796 3 7 o
: 2800 12 5 ~n, 
: 2816 7 8 dream 
: 2824 3 7 o
: 2828 4 5 ~n 
- 2834
: 2836 7 8 Dream 
: 2844 3 8 your
: 2848 3 7 self 
: 2852 3 5 a 
: 2856 3 5 dream 
: 2860 3 5 come 
: 2864 64 8 true 
- 2930
: 2988 7 8 Dream 
: 2996 3 7 o
: 3000 12 5 ~n, 
: 3016 7 8 dream 
: 3024 3 7 o
: 3028 12 5 ~n, 
: 3044 7 8 dream 
: 3052 3 7 o
: 3056 4 5 ~n 
- 3062
: 3064 3 8 Dream 
: 3068 3 8 un
: 3072 3 7 til 
: 3076 3 5 your 
: 3080 7 5 dream 
: 3088 7 5 comes 
: 3096 12 5 true 
- 3110
: 3208 7 8 Dream 
: 3216 3 7 o
: 3220 12 5 ~n, 
: 3236 7 8 dream 
: 3244 3 7 o
: 3248 12 5 ~n, 
: 3264 7 8 dream 
: 3272 3 7 o
: 3276 12 5 ~n, 
: 3292 7 8 dream 
: 3300 3 7 o
: 3304 12 5 ~n 
- 3318
: 3324 7 20 Dream 
: 3332 3 19 o
: 3336 12 17 ~n, 
: 3352 7 20 dream 
: 3360 3 19 o
: 3364 12 17 ~n, 
: 3380 7 20 dream 
: 3388 3 19 o
: 3392 4 17 ~n 
- 3398
: 3404 7 19 Ah
: 3412 11 20 ~
: 3424 7 19 ~
: 3432 7 20 ~
: 3440 7 19 ~
: 3448 7 20 ~
: 3456 7 19 ~
: 3464 7 20 ~
: 3472 7 19 ~
: 3480 7 20 ~
: 3488 7 19 ~
: 3496 7 20 ~
: 3504 7 19 ~
: 3512 7 20 ~
: 3520 7 19 ~
: 3528 7 20 ~
: 3536 4 19 ~ 
- 3542
: 3548 7 8 Sing 
: 3556 3 7 with 
: 3560 7 5 me, 
: 3568 7 7 sing 
: 3576 3 7 for 
: 3580 3 8 the 
: 3584 3 7 yea
: 3588 4 5 ~r 
- 3594
: 3596 7 8 Sing 
: 3604 3 5 for 
: 3608 3 3 the 
: 3612 3 5 laugh
: 3616 3 5 ter 
: 3620 3 3 and 
: 3624 7 5 sing 
: 3632 3 5 for 
: 3636 3 3 the 
: 3640 3 5 tea
: 3644 8 5 ~r 
- 3654
: 3660 7 8 Sing 
: 3668 3 7 with 
: 3672 3 5 me, 
: 3676 3 5 if 
: 3680 3 7 it’s 
: 3684 3 7 just 
: 3688 3 8 for 
: 3692 3 7 to
: 3696 8 5 day 
- 3706
: 3712 3 8 May
: 3716 3 8 be 
: 3720 3 5 to
: 3724 3 8 mor
: 3728 7 8 row 
: 3736 3 5 the 
: 3740 3 7 Good 
: 3744 3 7 Lord 
: 3748 3 5 will 
: 3752 3 5 take 
: 3756 3 3 you 
: 3760 1 5 a
: 3762 7 5 way 
- 3771
: 3776 3 8 Sing 
: 3780 3 7 with 
: 3784 7 5 me, 
: 3792 7 7 sing 
: 3800 3 7 for 
: 3804 3 8 the 
: 3808 3 7 yea
: 3812 4 5 ~r 
- 3818
: 3820 7 8 Sing 
: 3828 3 5 for 
: 3832 3 3 the 
: 3836 3 5 laugh
: 3840 3 5 ter 
: 3844 3 3 and 
: 3848 7 5 sing 
: 3856 3 5 for 
: 3860 3 3 the 
: 3864 3 5 tea
: 3868 8 5 ~r 
- 3878
: 3884 7 8 Sing 
: 3892 3 7 with 
: 3896 3 5 me, 
: 3900 3 5 if 
: 3904 3 7 it’s 
: 3908 3 7 just 
: 3912 3 8 for 
: 3916 3 7 to
: 3920 8 5 day 
- 3930
: 3936 3 8 May
: 3940 3 8 be 
: 3944 3 8 to
: 3948 3 7 mor
: 3952 7 5 row 
: 3960 3 5 the 
: 3964 3 8 Good 
: 3968 3 8 Lord 
: 3972 3 7 will 
: 3976 3 7 take 
: 3980 2 5 you 
: 3984 1 7 a
: 3986 46 7 way 
E
